lvl              moves    time
SAAiAiCap.lvl    96       1722
SAAIFather.lvl   N/A      N/A
SAAiMasTers.lvl  N/A      N/A
SAAlphaOne.lvl   117      1283
SAAntsStar.lvl   N/A      N/A
SABahaMAS.lvl    92       4751
SAbAnAnA.lvl     556      5848
SABeTrayEd.lvl   238      855
SAbongu.lvl      80       718
SAByteMe.lvl     N/A      N/A
SACybot.lvl      N/A      N/A
SAdashen.lvl     N/A      N/A
SADaVinci.lvl    N/A      N/A
SAEasyPeasy.lvl  N/A      N/A
SAGreenDots.lvl  291      9730
SAJMAI.lvl       102      752
SAKaldi.lvl      N/A      N/A
SAKarlMarx.lvl   N/A      N/A
SAKJFWAOL.lvl    69       638
SALobot.lvl      95       666
SAMagicians.lvl  450      67561
SANavy.lvl       N/A      N/A
SANikrima.lvl    247      909
SANotHard.lvl    158      893
SAora.lvl        305      7987
SAPushPush.lvl   930      35710
SAZEROagent.lvl  480      14040

Passed:      16/27
Total moves: 4306
Total time:  154063.00

Passed hash: 3055974884644788785
