lvl              moves    time
SAAiAiCap.lvl    100      39970
SAAIFather.lvl   209      10140
SAAiMasTers.lvl  N/A      N/A
SAAlphaOne.lvl   163      2426
SAAntsStar.lvl   N/A      N/A
SABahaMAS.lvl    92       32489
SAbAnAnA.lvl     570      125389
SABeTrayEd.lvl   238      8397
SAbongu.lvl      80       2476
SAByteMe.lvl     N/A      N/A
SACybot.lvl      234      74296
SAdashen.lvl     N/A      N/A
SADaVinci.lvl    N/A      N/A
SAEasyPeasy.lvl  N/A      N/A
SAGreenDots.lvl  N/A      N/A
SAJMAI.lvl       104      3996
SAKaldi.lvl      N/A      N/A
SAKarlMarx.lvl   N/A      N/A
SAKJFWAOL.lvl    69       4292
SALobot.lvl      93       2121
SAMagicians.lvl  446      28270
SANavy.lvl       N/A      N/A
SANikrima.lvl    247      102055
SANotHard.lvl    158      3315
SAora.lvl        213      38116
SAPushPush.lvl   N/A      N/A
SAZEROagent.lvl  480      99822

Passed:      16/27
Total moves: 3496
Total time:  577570.00

Passed hash: -5001728656847821896
