lvl              moves    time
SAAiAiCap.lvl    102      40105
SAAIFather.lvl   209      10458
SAAiMasTers.lvl  N/A      N/A
SAAlphaOne.lvl   163      2306
SAAntsStar.lvl   N/A      N/A
SABahaMAS.lvl    92       31596
SAbAnAnA.lvl     570      114364
SABeTrayEd.lvl   238      8314
SAbongu.lvl      80       1810
SAByteMe.lvl     N/A      N/A
SACybot.lvl      N/A      N/A
SAdashen.lvl     N/A      N/A
SADaVinci.lvl    N/A      N/A
SAEasyPeasy.lvl  N/A      N/A
SAGreenDots.lvl  238      27156
SAJMAI.lvl       106      1698
SAKaldi.lvl      N/A      N/A
SAKarlMarx.lvl   N/A      N/A
SAKJFWAOL.lvl    69       4324
SALobot.lvl      93       1971
SAMagicians.lvl  446      23135
SANavy.lvl       N/A      N/A
SANikrima.lvl    247      91772
SANotHard.lvl    158      3263
SAora.lvl        213      36339
SAPushPush.lvl   N/A      N/A
SAZEROagent.lvl  480      92187

Passed:      16/27
Total moves: 3504
Total time:  490798.00

Passed hash: -7992113185834694824
