lvl              moves    time
SAAiAiCap.lvl    104      11821
SAAIFather.lvl   209      9903
SAAiMasTers.lvl  N/A      N/A
SAAlphaOne.lvl   157      2648
SAAntsStar.lvl   N/A      N/A
SABahaMAS.lvl    92       15315
SAbAnAnA.lvl     562      32730
SABeTrayEd.lvl   238      4464
SAbongu.lvl      80       1380
SAByteMe.lvl     N/A      N/A
SACybot.lvl      N/A      N/A
SAdashen.lvl     N/A      N/A
SADaVinci.lvl    N/A      N/A
SAEasyPeasy.lvl  N/A      N/A
SAGreenDots.lvl  N/A      N/A
SAJMAI.lvl       104      3609
SAKaldi.lvl      N/A      N/A
SAKarlMarx.lvl   N/A      N/A
SAKJFWAOL.lvl    69       2649
SALobot.lvl      93       1339
SAMagicians.lvl  460      11155
SANavy.lvl       N/A      N/A
SANikrima.lvl    247      30018
SANotHard.lvl    158      2445
SAora.lvl        213      13401
SAPushPush.lvl   850      124208
SAZEROagent.lvl  480      53375

Passed:      16/27
Total moves: 4116
Total time:  320460.00

Passed hash: -1715241474218170319
