lvl              moves    time
SAAiAiCap.lvl    102      7184
SAAIFather.lvl   209      10062
SAAiMasTers.lvl  N/A      N/A
SAAlphaOne.lvl   163      2276
SAAntsStar.lvl   N/A      N/A
SABahaMAS.lvl    92       13573
SAbAnAnA.lvl     570      18042
SABeTrayEd.lvl   238      1481
SAbongu.lvl      80       1141
SAByteMe.lvl     N/A      N/A
SACybot.lvl      234      62922
SAdashen.lvl     N/A      N/A
SADaVinci.lvl    N/A      N/A
SAEasyPeasy.lvl  N/A      N/A
SAGreenDots.lvl  N/A      N/A
SAJMAI.lvl       104      3938
SAKaldi.lvl      N/A      N/A
SAKarlMarx.lvl   N/A      N/A
SAKJFWAOL.lvl    69       949
SALobot.lvl      93       1507
SAMagicians.lvl  446      3396
SANavy.lvl       N/A      N/A
SANikrima.lvl    247      1681
SANotHard.lvl    158      1107
SAora.lvl        213      7574
SAPushPush.lvl   960      9014
SAZEROagent.lvl  480      46516

Passed:      17/27
Total moves: 4458
Total time:  192363.00

Passed hash: 4041452906986449142
