lvl              moves    time
SAAiAiCap.lvl    102      17732
SAAIFather.lvl   209      9786
SAAiMasTers.lvl  N/A      N/A
SAAlphaOne.lvl   157      2450
SAAntsStar.lvl   N/A      N/A
SABahaMAS.lvl    92       16749
SAbAnAnA.lvl     562      52461
SABeTrayEd.lvl   238      6882
SAbongu.lvl      80       1603
SAByteMe.lvl     N/A      N/A
SACybot.lvl      N/A      N/A
SAdashen.lvl     N/A      N/A
SADaVinci.lvl    N/A      N/A
SAEasyPeasy.lvl  N/A      N/A
SAGreenDots.lvl  238      23880
SAJMAI.lvl       106      1737
SAKaldi.lvl      N/A      N/A
SAKarlMarx.lvl   N/A      N/A
SAKJFWAOL.lvl    69       4459
SALobot.lvl      93       1839
SAMagicians.lvl  460      16437
SANavy.lvl       N/A      N/A
SANikrima.lvl    247      49282
SANotHard.lvl    158      3259
SAora.lvl        213      19248
SAPushPush.lvl   N/A      N/A
SAZEROagent.lvl  480      63422

Passed:      16/27
Total moves: 3504
Total time:  291226.00

Passed hash: -5870322258219602753
