lvl              moves    time
SAAiAiCap.lvl    178      6088
SAAIFather.lvl   209      8628
SAAiMasTers.lvl  N/A      N/A
SAAlphaOne.lvl   399      13287
SAAntsStar.lvl   240      6503
SABahaMAS.lvl    100      9313
SAbAnAnA.lvl     552      17852
SABeTrayEd.lvl   244      6181
SAbongu.lvl      80       5674
SAByteMe.lvl     N/A      N/A
SACybot.lvl      254      17348
SAdashen.lvl     N/A      N/A
SADaVinci.lvl    N/A      N/A
SAEasyPeasy.lvl  N/A      N/A
SAGreenDots.lvl  274      6388
SAJMAI.lvl       108      1651
SAKaldi.lvl      2873     171751
SAKJFWAOL.lvl    69       551
SALobot.lvl      105      2712
SAMagicians.lvl  468      7773
SANikrima.lvl    257      893
SANotHard.lvl    158      650
SAora.lvl        217      7889
SAPushPush.lvl   876      17979
SAZEROagent.lvl  500      39582

Passed:      20/25
Total moves: 8161
Total time:  348693.00

Passed hash: 8027087503231053796
